Date|Time|Symbol|Strike|Call_Put|Expiration|Alert_Type|Side|Vol|OI|Vol_OI_Ratio|Premium|OTM_Pct|Bid_Ask_Pct|Avg_Fill|Multileg_Vol
2025-12-30|12:52:45|LYFT|21.0|CALL|2/20/2026|Interval (5 min)|Ask|0|248|8.02|231K|10%|0/100|1.16|0%
2025-12-30|12:52:46|LYFT|21.0|CALL|2/20/2026|Hot Contract|Ask|0|248|11.49|330K|10%|7/93|1.16|0%
2025-12-30|12:54:04|LYFT|21.0|CALL|2/20/2026|Hot Contract|Ask|0|248|41.32|1.23M|9%|2/98|1.20|0%
2025-12-30|13:11:17|TSLA|420.0|PUT|1/2/2026|Hot Contract|Ask|10|5461|1.62|320K|8%|19/78|0.36|10%
2025-12-30|13:27:35|NFLX|94.5|CALL|1/2/2026|Hot Contract|Ask|7|2694|1.62|202K|1%|17/76|0.46|7%
2025-12-30|13:34:28|RKT|21.0|CALL|1/9/2026|Hot Contract|Ask|0|716|5.34|112K|5%|5/77|0.29|0%
2025-12-30|13:54:09|LYFT|20.0|CALL|1/9/2026|Hot Contract|Ask|1|389|8.65|100K|4%|6/89|0.30|1%
2025-12-30|13:59:46|RKT|22.0|CALL|2/20/2026|Hot Contract|Ask|1|525|4.76|190K|10%|24/70|0.76|1%
2025-12-30|13:59:56|OWL|15.0|PUT|1/2/2026|Hot Contract|Ask|1|1331|4.22|101K|0%|14/83|0.18|1%
2025-12-31|07:47:47|NIO|5.0|CALL|1/2/2026|Hot Contract|Ask|0|7265|1.88|213K||20/73|0.16|0%
2025-12-31|09:12:08|HPE|22.0|PUT|5/15/2026|Interval (5 min)|Ask|0|639|2.36|203K|8%|22/78|1.35|0%
2025-12-31|09:16:13|ONDS|13.0|CALL|2/20/2026|Hot Contract|Ask|1|277|9.04|227K|28%|12/83|0.91|1%
2025-12-31|09:22:10|KLAC|1320.0|CALL|6/18/2026|Hot Contract|Ask|0|2|22.50|532K|7%|9/91|118.29|0%
2025-12-31|09:44:38|WBD|29.0|CALL|1/30/2026|Interval (5 min)|Ask|0|128|17.71|233K|0%|13/73|1.03|0%
2025-12-31|09:45:13|WBD|29.0|CALL|1/30/2026|Hot Contract|Ask|0|128|25.56|338K|0%|9/81|1.03|0%
2025-12-31|09:46:43|AAOI|40.0|CALL|2/20/2026|Interval (5 min)|Ask|0|99|10.51|353K|13%|0/90|3.39|0%
2025-12-31|09:58:24|WBD|29.0|CALL|1/30/2026|Hot Contract|Ask|0|128|44.26|590K|0%|8/87|1.04|0%
2025-12-31|10:09:03|AMZN|222.5|PUT|1/16/2026|Interval (5 min)|Ask|0|867|1.45|203K|4%|0/100|1.62|0%
2025-12-31|10:11:18|LI|18.0|CALL|2/20/2026|Hot Contract|Ask|1|325|7.82|134K|9%|5/87|0.53|1%
2025-12-31|10:20:00|ONDS|10.5|CALL|1/9/2026|Hot Contract|Ask|6|2451|1.82|245K|4%|25/73|0.55|6%
2025-12-31|10:41:39|USB|53.0|PUT|1/16/2026|Hot Contract|Ask|1|106|36.08|218K|1%|0/100|0.57|1%
2025-12-31|10:41:40|USB|53.0|PUT|1/16/2026|Interval (5 min)|Ask|0|106|33.11|200K|1%|0/100|0.57|0%
2025-12-31|10:43:19|RR|4.0|CALL|1/9/2026|Hot Contract|Ask|0|2392|3.31|107K|22%|2/93|0.13|0%
2025-12-31|11:02:23|CLOV|2.5|PUT|1/16/2026|Hot Contract|Ask|0|5949|2.85|409K||14/86|0.24|0%
2025-12-31|11:09:23|RR|3.5|CALL|1/9/2026|Hot Contract|Ask|8|1636|3.99|130K|5%|28/71|0.20|8%
2025-12-31|11:18:12|LI|17.0|CALL|2/20/2026|Interval (5 min)|Ask|0|394|5.79|220K|2%|5/84|0.96|0%
2025-12-31|11:19:44|LI|17.0|CALL|2/20/2026|Hot Contract|Ask|0|394|6.57|250K|2%|4/86|0.97|0%
2025-12-31|11:20:59|PL|16.5|PUT|1/23/2026|Hot Contract|Ask|0|2|2|101K|18%|0/74|0.20|0%
2025-12-31|11:31:04|ONDS|10.5|CALL|1/9/2026|Hot Contract|Ask|3|2451|3.42|501K|3%|18/79|0.60|3%
2025-12-31|07:47:47|NIO|5.0|CALL|1/2/2026|Hot Contract|Ask|0|7265|1.88|213K||20/73|0.16|0%
2025-12-31|09:12:08|HPE|22.0|PUT|5/15/2026|Interval (5 min)|Ask|0|639|2.36|203K|8%|22/78|1.35|0%
2025-12-31|09:16:13|ONDS|13.0|CALL|2/20/2026|Hot Contract|Ask|1|277|9.04|227K|28%|12/83|0.91|1%
2025-12-31|09:22:10|KLAC|1320.0|CALL|6/18/2026|Hot Contract|Ask|0|2|22.50|532K|7%|9/91|118.29|0%
2025-12-31|09:44:38|WBD|29.0|CALL|1/30/2026|Interval (5 min)|Ask|0|128|17.71|233K|0%|13/73|1.03|0%
2025-12-31|09:45:13|WBD|29.0|CALL|1/30/2026|Hot Contract|Ask|0|128|25.56|338K|0%|9/81|1.03|0%
2025-12-31|09:46:43|AAOI|40.0|CALL|2/20/2026|Interval (5 min)|Ask|0|99|10.51|353K|13%|0/90|3.39|0%
2025-12-31|09:58:24|WBD|29.0|CALL|1/30/2026|Hot Contract|Ask|0|128|44.26|590K|0%|8/87|1.04|0%
2025-12-31|10:09:03|AMZN|222.5|PUT|1/16/2026|Interval (5 min)|Ask|0|867|1.45|203K|4%|0/100|1.62|0%
2025-12-31|10:11:18|LI|18.0|CALL|2/20/2026|Hot Contract|Ask|1|325|7.82|134K|9%|5/87|0.53|1%
2025-12-31|10:20:00|ONDS|10.5|CALL|1/9/2026|Hot Contract|Ask|6|2451|1.82|245K|4%|25/73|0.55|6%
2025-12-31|10:41:39|USB|53.0|PUT|1/16/2026|Hot Contract|Ask|1|106|36.08|218K|1%|0/100|0.57|1%
2025-12-31|10:41:40|USB|53.0|PUT|1/16/2026|Interval (5 min)|Ask|0|106|33.11|200K|1%|0/100|0.57|0%
2025-12-31|10:43:19|RR|4.0|CALL|1/9/2026|Hot Contract|Ask|0|2392|3.31|107K|22%|2/93|0.13|0%
2025-12-31|11:02:23|CLOV|2.5|PUT|1/16/2026|Hot Contract|Ask|0|5949|2.85|409K||14/86|0.24|0%
2025-12-31|11:09:23|RR|3.5|CALL|1/9/2026|Hot Contract|Ask|8|1636|3.99|130K|5%|28/71|0.20|8%
2025-12-31|11:18:12|LI|17.0|CALL|2/20/2026|Interval (5 min)|Ask|0|394|5.79|220K|2%|5/84|0.96|0%
2025-12-31|11:19:44|LI|17.0|CALL|2/20/2026|Hot Contract|Ask|0|394|6.57|250K|2%|4/86|0.97|0%
2025-12-31|11:20:59|PL|16.5|PUT|1/23/2026|Hot Contract|Ask|0|2|2|101K|18%|0/74|0.20|0%
2025-12-31|11:31:04|ONDS|10.5|CALL|1/9/2026|Hot Contract|Ask|3|2451|3.42|501K|3%|18/79|0.60|3%
2025-12-31|12:44:00|LI|16.5|CALL|1/16/2026|Hot Contract|Ask|0|73|43.27|220K||0/100|0.70|0%
2025-12-31|12:45:31|LI|17.0|CALL|2/20/2026|Hot Contract|Ask|0|394|13.61|527K|2%|8/82|0.98|0%
2025-12-31|12:50:57|MELI|2010.0|CALL|2/20/2026|Hot Contract|Ask|0|9|5.56|550K|0%|0/100|110.00|0%
2025-12-31|12:57:59|RKLB|71.0|PUT|1/16/2026|Interval (5 min)|Ask|0|153|6.59|549K||0/100|5.45|0%
2025-12-31|13:01:35|LI|16.5|CALL|1/16/2026|Hot Contract|Ask|0|73|93.05|507K||11/88|0.75|0%
2025-12-31|13:16:13|AAPL|265.0|PUT|1/9/2026|Hot Contract|Ask|16|3006|1.60|342K|3%|6/84|0.71|16%
2025-12-31|13:27:00|EVLV|8.0|CALL|2/20/2026|Hot Contract|Ask|0|8102|1.55|663K|11%|15/78|0.53|0%
2025-12-31|13:37:26|WDC|172.5|CALL|1/30/2026|Interval (5 min)|Ask|0|10|103.90|1.49M|0%|3/97|14.39|0%
2025-12-31|13:37:30|WDC|172.5|CALL|1/30/2026|Hot Contract|Ask|0|10|104.00|1.5M|0%|2/97|14.38|0%
2025-12-31|13:39:22|SGHC|12.0|PUT|4/17/2026|Interval (5 min)|Ask|0|131|10.98|237K||0/100|1.65|0%
2025-12-31|13:40:17|NUAI|2.5|PUT|2/20/2026|Hot Contract|Ask|0|331|9.12|205K|13%|11/76|0.68|0%
2025-12-31|13:45:48|BA|250.0|CALL|11/20/2026|Hot Contract|Ask|3|16|21.25|595K|15%|3/97|17.49|3%
2025-12-31|13:54:56|MSFT|485.0|CALL|1/9/2026|Hot Contract|Ask|8|1134|2.21|1.42M|0%|22/72|5.68|8%
2025-12-31|13:58:45|CLX|110.0|CALL|2/20/2026|Hot Contract|Ask|2|499|6.57|515K|9%|11/82|1.57|2%
2026-01-02|07:33:30|GOOGL|317.5|PUT|1/2/2026|Interval (5 min)|Ask|0|645|2.97|200K|0%|28/71|1.04|0%
2026-01-02|07:34:00|NFLX|92.5|CALL|1/2/2026|Hot Contract|Ask|2|1341|2.17|152K|0%|26/71|0.52|2%
2026-01-02|07:39:01|OSCR|16.0|CALL|3/20/2026|Interval (5 min)|Ask|0|1137|1.53|227K|10%|0/100|1.31|0%
2026-01-02|07:42:49|SLS|4.5|CALL|1/16/2026|Hot Contract|Ask|0|515|5.07|128K|0%|16/84|0.49|0%
2026-01-02|07:44:54|ENVX|8.0|CALL|1/9/2026|Hot Contract|Ask|0|740|5.41|106K|2%|21/78|0.26|0%
2026-01-02|07:45:27|ASML|1180.0|CALL|2/20/2026|Hot Contract|Ask|0|25|5.20|815K|2%|2/98|62.70|0%
2026-01-02|07:45:56|NVS|135.0|PUT|2/20/2026|Interval (5 min)|Ask|0|428|2.34|284K|2%|0/100|2.84|0%
2026-01-02|07:47:27|AAPL|277.5|PUT|1/2/2026|Interval (5 min)|Ask|0|74|13.93|200K|0%|13/86|1.94|0%
2026-01-02|07:50:53|MU|280.0|PUT|1/30/2026|Interval (5 min)|Ask|0|185|5.41|801K|9%|0/100|8.00|0%
2026-01-02|07:52:04|BSX|87.0|PUT|2/13/2026|Interval (5 min)|Ask|0|2|1|282K|8%|0/100|0.80|0%
2026-01-02|07:52:05|BSX|87.0|PUT|2/13/2026|Hot Contract|Ask|0|2|1|282K|8%|0/100|0.80|0%
2026-01-02|07:52:57|APP|645.0|CALL|1/2/2026|Interval (5 min)|Ask|0|10|100.20|602K|0%|16/70|6.00|0%
2026-01-02|07:56:19|BE|105.0|CALL|6/18/2026|Interval (5 min)|Ask|0|174|5.83|2.25M|13%|0/100|22.15|0%
2026-01-02|07:56:21|BE|105.0|CALL|6/18/2026|Hot Contract|Ask|0|174|11.93|4.59M|12%|1/99|22.12|0%
2026-01-02|08:01:04|APP|645.0|CALL|1/2/2026|Hot Contract|Ask|0|10|134.80|787K|0%|17/73|5.84|0%
2026-01-02|08:04:12|CDE|18.5|CALL|1/23/2026|Interval (5 min)|Ask|0|77|25.97|240K|2%|0/100|1.20|0%
2026-01-02|08:15:19|IONQ|45.0|CALL|2/20/2026|Interval (5 min)|Ask|0|787|1.32|509K|2%|0/100|4.90|0%
2026-01-02|08:15:20|IONQ|45.0|CALL|2/20/2026|Hot Contract|Ask|0|787|2.09|803K|2%|0/100|4.89|0%
2026-01-02|08:16:54|RIOT|20.0|CALL|12/18/2026|Hot Contract|Ask|0|352|5.23|506K|47%|10/79|2.75|0%
2026-01-02|08:18:35|STX|285.0|PUT|1/9/2026|Interval (5 min)|Ask|0|88|11.36|725K|1%|0/100|7.25|0%
2026-01-02|08:18:46|AMZN|200.0|PUT|2/6/2026|Interval (5 min)|Ask|0|314|13.69|829K|12%|0/100|1.93|0%
2026-01-02|08:18:48|AMZN|200.0|PUT|2/6/2026|Hot Contract|Ask|0|314|13.74|832K|12%|0/100|1.93|0%
2026-01-02|08:21:14|APLD|24.0|PUT|1/9/2026|Interval (5 min)|Ask|0|1416|1.59|304K|7%|0/100|1.35|0%
2026-01-02|08:25:13|APLD|24.0|PUT|1/9/2026|Hot Contract|Ask|0|1416|1.83|352K|7%|7/93|1.36|0%
2026-01-02|08:30:21|TSLA|770.0|CALL|5/15/2026|Hot Contract|Ask|0|916|2.20|1.09M|73%|15/73|5.40|0%
2026-01-02|08:50:23|OSCR|16.0|CALL|3/20/2026|Hot Contract|Ask|0|1137|2.22|334K|8%|7/91|1.32|0%
2026-01-02|08:51:21|GRRR|15.0|CALL|2/20/2026|Hot Contract|Ask|0|842|3.49|205K|23%|6/91|0.70|0%
2026-01-02|08:51:55|META|645.0|CALL|1/23/2026|Hot Contract|Ask|1|117|2.35|683K||27/73|24.83|1%
2026-01-02|08:53:39|OKLO|75.0|CALL|1/23/2026|Hot Contract|Ask|0|44|18.70|503K|0%|4/73|6.11|0%
2026-01-02|09:01:26|INTC|38.5|PUT|1/16/2026|Interval (5 min)|Ask|0|61|29.70|223K|1%|0/100|1.23|0%
2026-01-02|09:01:28|INTC|38.5|PUT|1/16/2026|Hot Contract|Ask|3|61|67.23|503K|1%|2/97|1.23|3%
2026-01-02|09:05:50|HIMS|23.0|PUT|1/30/2026|Hot Contract|Ask|0|||132K|29%|0/100|0.21|0%
2026-01-02|09:07:29|AVGO|350.0|CALL|1/9/2026|Hot Contract|Ask|8|2938|1.50|5.22M|0%|24/71|11.83|8%
2026-01-02|09:19:56|IREN|28.0|PUT|1/9/2026|Hot Contract|Ask|0|388|27.07|136K|32%|0/100|0.13|0%
2026-01-02|09:22:50|CRWD|450.0|CALL|4/17/2026|Hot Contract|Ask|0|13|43.85|2.58M||1/99|45.23|0%
2026-01-02|09:24:01|PLUG|2.5|CALL|1/30/2026|Hot Contract|Ask|0|1544|7.82|133K|11%|12/85|0.11|0%
2026-01-02|09:32:31|LCID|15.0|CALL|2/20/2026|Interval (5 min)|Ask|0|3476|1.52|201K|36%|0/97|0.38|0%
2026-01-02|09:32:31|LCID|15.0|CALL|2/20/2026|Hot Contract|Ask|0|3476|1.88|248K|36%|3/94|0.38|0%
2026-01-02|09:35:01|VZ|43.0|CALL|2/20/2026|Interval (5 min)|Ask|0|3011|2.91|304K|5%|0/100|0.35|0%
2026-01-02|09:35:03|VZ|43.0|CALL|2/20/2026|Hot Contract|Ask|0|3011|2.93|307K|5%|0/100|0.35|0%
2026-01-02|09:58:01|SCHW|100.0|PUT|2/20/2026|Interval (5 min)|Ask|0|207|4.87|338K|1%|0/100|3.35|0%
2026-01-02|10:03:32|TSM|315.0|PUT|1/30/2026|Interval (5 min)|Ask|0|17|58.82|1.22M|0%|0/100|12.20|0%
2026-01-02|10:04:23|HD|360.0|CALL|1/9/2026|Hot Contract|Ask|0|335|7.99|101K|4%|0/99|0.38|0%
2026-01-02|10:32:18|RGTI|33.0|CALL|1/16/2026|Hot Contract|Ask|0|1241|8.87|185K|44%|0/85|0.17|0%
2026-01-02|11:01:40|NFLX|93.5|CALL|1/16/2026|Hot Contract|Ask|3|1598|1.64|279K|3%|10/87|1.06|3%
2026-01-02|11:45:46|LITE|550.0|CALL|6/18/2026|Hot Contract|Ask|0|||1M|42%|7/93|50.10|0%
2026-01-02|11:48:58|BBY|80.0|CALL|3/20/2026|Interval (5 min)|Ask|0|437|4.49|246K|17%|0/100|1.25|0%
2026-01-02|11:59:29|AMD|232.5|CALL|1/16/2026|Interval (5 min)|Ask|0|312|3.21|385K|5%|0/100|3.85|0%
2026-01-02|12:05:57|RKLB|79.0|CALL|1/9/2026|Interval (5 min)|Ask|0|148|8.48|200K|8%|29/71|1.60|0%
2026-01-02|12:14:16|BLK|1100.0|CALL|9/18/2026|Hot Contract|Ask|0|10|10.00|896K|2%|0/100|89.60|0%
2026-01-05|07:31:42|PLNT|105.0|PUT|1/16/2026|Interval (5 min)|Ask|0|386|2.89|201K|3%|8/92|1.80|0%
2026-01-05|07:33:52|CLS|360.0|CALL|6/18/2026|Hot Contract|Ask|0|89|5.62|2.41M|17%|0/100|48.15|0%
2026-01-05|07:34:50|ORCL|210.0|CALL|1/9/2026|Interval (5 min)|Ask|0|4604|1.88|1.01M|5%|1/98|1.17|0%
2026-01-05|07:34:53|ORCL|210.0|CALL|1/9/2026|Hot Contract|Ask|0|4604|2.31|1.24M|5%|1/99|1.17|0%
2026-01-05|07:34:53|ORCL|210.0|CALL|1/9/2026|Hot Contract|Ask|0|4604|2.31|1.24M|5%|1/99|1.17|0%
2026-01-05|07:40:14|ENVX|9.0|CALL|1/9/2026|Hot Contract|Ask|0|538|9.77|105K|8%|3/94|0.20|0%
2026-01-05|07:41:35|BABA|148.0|PUT|1/9/2026|Hot Contract|Ask|0|429|7.14|189K|4%|1/92|0.62|0%
2026-01-05|07:42:52|META|675.0|CALL|1/9/2026|Interval (5 min)|Ask|0|1806|1.26|529K|2%|5/95|2.33|0%
2026-01-05|07:42:54|META|675.0|CALL|1/9/2026|Hot Contract|Ask|1|1806|1.50|602K|2%|12/87|2.22|1%
2026-01-05|07:48:27|BABA|143.0|PUT|1/16/2026|Hot Contract|Ask|0|319|9.61|253K|7%|7/93|0.82|0%
2026-01-05|07:49:49|BABA|143.0|PUT|1/16/2026|Interval (5 min)|Ask|0|319|7.59|217K|7%|0/99|0.90|0%
2026-01-05|07:50:39|C|115.0|PUT|5/15/2026|Interval (5 min)|Ask|0|707|1.41|575K|5%|0/100|5.75|0%
2026-01-05|07:51:15|NNE|30.0|CALL|1/16/2026|Interval (5 min)|Ask|0|1049|1.81|313K|1%|0/65|1.65|0%
2026-01-05|07:51:51|META|675.0|CALL|1/9/2026|Hot Contract|Ask|4|1806|2.00|828K|3%|22/75|2.29|4%
2026-01-05|07:52:23|IREN|50.0|CALL|1/9/2026|Hot Contract|Ask|1|2227|1.51|183K|10%|27/70|0.54|1%
2026-01-05|07:57:27|AMD|195.0|PUT|2/6/2026|Interval (5 min)|Ask|0|232|12.94|1.23M|13%|0/100|4.10|0%
2026-01-05|07:57:29|AMD|195.0|PUT|2/6/2026|Hot Contract|Ask|0|232|12.98|1.23M|13%|0/100|4.10|0%
2026-01-05|08:01:11|MU|300.0|PUT|1/9/2026|Hot Contract|Ask|6|2427|1.53|1.21M|4%|19/78|3.27|6%
2026-01-05|08:03:35|TPC|80.0|CALL|12/18/2026|Hot Contract|Ask|0|11|45.45|625K|11%|17/83|12.50|0%
2026-01-05|08:14:14|FCX|65.0|CALL|8/21/2026|Hot Contract|Ask|0|263|7.18|670K|20%|1/99|3.55|0%
2026-01-05|08:15:51|C|115.0|PUT|6/18/2026|Interval (5 min)|Ask|0|733|2.55|1.16M|6%|0/100|6.20|0%
2026-01-05|08:15:54|C|115.0|PUT|6/18/2026|Hot Contract|Ask|0|733|4.10|1.86M|6%|6/71|6.20|0%
2026-01-05|08:23:07|RGTI|26.0|CALL|1/23/2026|Interval (5 min)|Ask|0|246|5.45|241K|3%|0/100|1.80|0%
2026-01-05|08:30:00|LRCX|260.0|CALL|6/18/2026|Hot Contract|Ask|1|6|122.00|735K|33%|1/99|10.04|1%
2026-01-05|08:33:01|FCX|65.0|CALL|2/20/2026|Hot Contract|Ask|1|708|3.54|113K|20%|1/98|0.45|1%
2026-01-05|08:36:27|INTC|40.5|CALL|1/9/2026|Hot Contract|Ask|5|3049|1.75|513K|1%|24/72|0.96|5%
2026-01-05|08:39:33|RL|370.0|CALL|2/20/2026|Hot Contract|Ask|0|35|8.43|503K|1%|9/72|17.04|0%
2026-01-05|08:41:25|ORCL|175.0|PUT|1/9/2026|Hot Contract|Ask|14|2481|1.53|106K|11%|9/82|0.28|14%
2026-01-05|08:41:51|VRT|157.5|PUT|1/9/2026|Hot Contract|Ask|0|56|48.77|164K|10%|4/96|0.60|0%
2026-01-05|08:45:14|MARA|10.5|PUT|1/9/2026|Hot Contract|Ask|0|1080|3.60|153K|0%|6/78|0.39|0%
2026-01-05|08:45:49|DAR|40.0|CALL|2/20/2026|Interval (5 min)|Ask|0|293|5.19|228K|6%|2/98|1.50|0%
2026-01-05|08:48:48|HOOD|112.0|PUT|1/23/2026|Interval (5 min)|Ask|0|211|4.74|214K|7%|0/100|2.14|0%
2026-01-05|08:48:52|NKLR|7.5|CALL|6/18/2026|Interval (5 min)|Ask|0|682|2.15|238K|33%|5/66|1.63|0%
2026-01-05|08:49:58|ASML|1320.0|CALL|2/20/2026|Hot Contract|Ask|2|18|6.89|569K|7%|5/95|45.89|2%
2026-01-05|08:52:09|BABA|145.0|PUT|1/9/2026|Hot Contract|Ask|3|1289|2.08|132K|5%|8/90|0.49|3%
2026-01-05|08:54:41|JNJ|207.5|CALL|1/16/2026|Hot Contract|Ask|1|322|7.85|283K|3%|21/77|1.12|1%
2026-01-05|08:55:06|BABA|146.0|PUT|1/9/2026|Hot Contract|Ask|1|662|4.07|168K|5%|2/97|0.62|1%
2026-01-05|08:55:17|CAT|730.0|CALL|8/21/2026|Hot Contract|Ask|0|3|51.67|507K|18%|7/93|32.68|0%
2026-01-05|08:59:54|ASTS|100.0|CALL|1/9/2026|Hot Contract|Ask|1|1578|2.46|543K|11%|25/70|1.40|1%
2026-01-05|08:59:54|ASTS|100.0|CALL|1/9/2026|Hot Contract|Ask|1|1578|2.46|543K|11%|25/70|1.40|1%
2026-01-05|09:01:06|KLAC|1500.0|CALL|2/20/2026|Hot Contract|Ask|3|14|8.86|501K|11%|29/71|40.42|3%
2026-01-05|09:04:56|PVLA|90.0|CALL|1/16/2026|Hot Contract|Ask|0|5|200.00|678K|2%|14/86|6.78|0%
2026-01-05|09:09:44|RKLB|80.0|CALL|1/9/2026|Hot Contract|Ask|1|2667|1.50|595K|6%|25/72|1.49|1%
2026-01-05|09:10:31|SLB|45.0|CALL|1/9/2026|Hot Contract|Ask|1|20|125.20|118K|3%|17/71|0.47|1%
2026-01-05|09:11:39|BLSH|45.0|CALL|2/20/2026|Hot Contract|Ask|0|76|25.13|503K|8%|4/89|2.63|0%
2026-01-05|09:23:49|HAL|32.0|PUT|1/9/2026|Hot Contract|Ask|0|||142K|1%|21/74|0.55|0%
2026-01-05|09:27:17|NKLR|7.5|CALL|6/18/2026|Hot Contract|Ask|0|682|3.70|417K|29%|11/71|1.65|0%
2026-01-05|09:30:32|CLMT|27.0|CALL|5/15/2026|Hot Contract|Ask|0|80|46.09|184K|34%|0/100|0.50|0%
2026-01-05|09:30:33|CLMT|27.0|CALL|5/15/2026|Interval (5 min)|Ask|0|80|50.80|203K|34%|0/100|0.50|0%
2026-01-05|09:31:01|ASML|1600.0|CALL|9/18/2026|Hot Contract|Ask|0|41|4.27|1.23M|29%|29/71|70.05|0%
2026-01-05|09:33:15|CIFR|16.5|PUT|1/9/2026|Hot Contract|Ask|0|334|8.10|129K|6%|2/94|0.48|0%
2026-01-05|09:44:28|SOFI|30.0|CALL|2/13/2026|Interval (5 min)|Ask|1|228|4.47|241K|2%|0/100|2.36|1%
2026-01-05|09:49:08|APLD|36.0|CALL|1/9/2026|Hot Contract|Ask|2|703|3.96|156K|19%|10/85|0.56|2%
2026-01-05|09:51:53|IREN|47.0|CALL|2/20/2026|Interval (5 min)|Ask|0|1370|1.28|1.22M||6/84|6.99|0%
