Date|Time|Description
2025-12-29|09:14:09|KREMLIN’S USHAKOV: PUTIN TOLD TRUMP THAT UKRAINE LAUNCHED A DRONE ATTACK ON PRESIDENTIAL RESIDENCE IN RUSSIA  KREMLIN’S USHAKOV: TRUMP WAS SHOCKED WHEN PUTIN TOLD HIM ABOUT THE DRONE ATTACK ON RUSSIAN PRESIDENTIAL RESIDENCE
2025-12-29|09:29:07|SPOT PALLADIUM FURTHER EXTENDS LOSSES  LAST DOWN OVER 17% AT $1 588.32/OZ
2025-12-29|11:29:08|TRUMP: HOPE TO GET TO PHASE TWO OF GAZA PLAN VERY QUICKLY
2025-12-29|11:29:09|TRUMP ON VENEZUELA FACILITY: THERE WAS A MAJOR EXPLOSION IN DOCK AREA WHERE THEY LOAD UP DRUGS
2025-12-29|11:32:08|TRUMP:  I HEAR IRAN IS TRYING TO BUILD UP AGAIN
2025-12-29|11:33:08|TRUMP: IF THEY ARE WE HAVE TO KNOCK THEM DOWN
2025-12-29|11:33:09|TRUMP: IRAN SHOULD MAKE A DEAL BUT SOMETIMES THAT DOESN'T HAPPEN
2025-12-29|11:37:10|TRUMP: WOULD SUPPORT FAST ATTACK ON IRAN IF IT CONTINUES NUCLEAR BUILDUP
2025-12-29|11:38:08|TRUMP: I THINK IT'S A VERY HARD THING TO NOT PARDON NETANYAHU
2025-12-29|11:40:08|"TRUMP: ""I DON'T LIKE IT"" ON ALLEGED STRIKE ON PUTIN'S RESIDENCE"
2025-12-29|11:41:08|TRUMP: PUTIN TOLD HIM HE WAS ATTACKED BY UKRAINE STRIKE ON HOME
2025-12-29|11:53:08|TRUMP: IN FIVE MINUTES OF MEETING WITH NETANYAHU WE SETTLED THREE ISSUES
2025-12-29|12:38:08|U.S. CRUDE OIL FUTURES SETTLE AT $58.08/BBL  UP $1.34  2.36 PCT
2025-12-29|12:52:08|PUTIN ORDERS 261 000-MAN CONSCRIPTION IN 2026  Russian President Vladimir Putin has signed a decree mandating military conscription in 2026. The order calls for the recruitment of 261 000 citizens aged 18 to 30 between January and December 31  excluding those already in reserve.  Conscripts will be deployed to their assigned units during two periods: April 1 to July 15  and October 1 to December 31.
2025-12-29|12:53:08|MEDVEDEV: ZELENSKY WILL HAVE TO STAY IN HIDING FOR LIFE
2025-12-29|14:52:08|"*TRUMP: WILL ANNOUNCE POWELL'S REPLACEMENT ""PROBABLY JANUARY""  *TRUMP: STILL MIGHT FIRE POWELL"
2025-12-30|06:50:12|$TSLA** - TESLA ANALYST ESTIMATES SIGNAL Q4 DELIVERY DECLINE**  Tesla has published a compilation of analyst delivery estimates showing an expected 15% year-over-year drop in fourth-quarter vehicle deliveries. Analysts tracked by Tesla forecast 422 850 deliveries  below the Bloomberg consensus of 445 061  which implies a 10% decline.  This is the first time Tesla has publicly shared these estimates on its investor relations website. For the full year  the company’s compiled estimate is about 1.6 million deliveries  down more than 8% from last year  pointing to a second consecutive annual sales decline.  Despite weaker delivery expectations  Tesla shares are up 14% year to date through Monday’s close  trailing the S&P 500’s 17% gain.
2025-12-30|06:51:10|$TSLA** - TESLA STOCK FORECAST: BAIRD PREVIEWS 2026**  Baird expects Tesla to enter 2026 with multiple catalysts  maintaining an Outperform rating and a $548 price target. The firm views Tesla as a core holding  noting the stock is up 21% year to date and 7% over the past month  outperforming the S&P 500.  Key catalysts include expected robotaxi announcements  potential regulatory and revenue updates in China and the EU  and progress in Optimus production  Tesla Semi volumes  and Energy segment growth. Baird also reaffirmed expectations for paid robotaxi service and initial Optimus commercialization in 2027.  The firm updated its long-term model through 2030  removed prior Model 2 delivery assumptions  and continues to base its valuation on roughly 70x 2030 EBITDA  discounted to year-end 2026.
2025-12-30|07:01:10|SILVER47 DISCOVERS NEW HIGH-GRADE MASSIVE SULFIDE ZONE AT RED MOUNTAIN PROJECT  ALASKA $AGA.V $AAGAF
2025-12-30|07:14:10|SOFTBANK HAS FULLY FUNDED OPENAI COMMITMENT OF $40B - CNBC  CITING SOURCES
2025-12-30|07:31:10|$NVDA** - DAN IVES’ TOP AI STOCK PICKS FOR 2026**  Artificial intelligence led markets in 2025  and Wedbush analyst Dan Ives expects new winners to emerge in 2026. His top AI-related picks are Microsoft  Apple  Tesla  Palantir  and CrowdStrike. Nvidia  despite leading the AI rally in recent years  was excluded as Ives focuses on “derivative” beneficiaries of AI spending across the broader tech ecosystem.  Ives argues that every dollar spent on Nvidia chips drives an $8–$10 multiplier across other technology companies  positioning these firms to benefit most in the next phase of the AI cycle.  **Key highlights:**  🔸 $MSFT: Strong upside from Azure  with growth underestimated by the market; shares up 15.6% in 2025.  🔸 $AAPL: Potential acceleration in AI could add $75–$100 per share over time; shares up 9.3%.  🔸 $TSLA: 2026 seen as a breakout year for autonomous driving and robotics; shares up 13.8%.  🔸 $PLTR: Viewed as a potential trillion-dollar market cap AI leader; shares up 143.5%.  🔸 $CRWD: Growing enterprise adoption and expanding product suite; shares up 39.1%.
2025-12-30|07:46:10|US DEC. MNI CHICAGO REPORT BUSINESS INDEX AT 43.5; EST. 39.8
2025-12-30|08:46:11|🚨 PRESIDENT ZELENSKIY TELLS MEDIA IN WHATSAPP CHAT: KYIV IS DISCUSSING WITH PRESIDENT TRUMP US TROOPS PRESENCE IN UKRAINE
2025-12-30|08:47:11|ZELENSKIY SAYS WE DISCUSS BOOTS ON THE GROUND WITH US  OTHER ALLIES  ZELENSKIY SAYS UKRAINE SEEKS ALLIES TO MONITOR POTENTIAL TRUCE  ZELENSKIY SAYS IT'S UP TO US  ALLIES TO DECIDE ON TROOP DEPLOYMENT
2025-12-30|09:00:12|ZELENSKIY SAYS HE IS READY FOR ANY FORMAT OF MEETING WITH PUTIN
2025-12-30|09:29:11|INTEL SHARES HIT MORE THAN TWO-WEEK HIGH  LAST UP 4.2%
2025-12-30|10:17:12|COMEX SILVER EXTENDS GAINS TO 8%
2025-12-30|10:32:11|$NVDA** - NVIDIA IN TALKS TO BUY AI21 LABS FOR UP TO $3 BILLION**  Nvidia is in advanced talks to acquire Israeli AI firm AI21 Labs for $2–3 billion  according to local media outlet Calcalist. If completed  this would be Nvidia’s fourth acquisition in Israel and its second largest after Mellanox.  The deal is largely aimed at AI21’s roughly 200 employees  many of whom have advanced AI expertise  implying a valuation of about $10–15 million per employee. AI21 develops large-scale language models and was last valued at $1.4 billion after a 2023 funding round.  Founded in 2017 by Amnon Shashua  who also leads Mobileye  AI21 has attracted strong investor interest amid the AI boom.
2025-12-30|12:02:11|ELON MUSK’S XAI HAS BOUGHT A BUILDING FOR A THIRD SUPERSIZED DATA CENTER IT’S PLANNING OUTSIDE MEMPHIS  TENNESSEE- THE INFORMATION
2025-12-30|12:03:14|FED MINUTES: SOME PARTICIPANTS SUGGESTED UNDER THEIR ECONOMIC OUTLOOKS IT WOULD LIKELY BE APPROPRIATE TO LEAVE RATES UNCHANGED FOR SOME TIME AFTER DECEMBER CUT
2025-12-30|06:50:12|$TSLA** - TESLA ANALYST ESTIMATES SIGNAL Q4 DELIVERY DECLINE**  Tesla has published a compilation of analyst delivery estimates showing an expected 15% year-over-year drop in fourth-quarter vehicle deliveries. Analysts tracked by Tesla forecast 422 850 deliveries  below the Bloomberg consensus of 445 061  which implies a 10% decline.  This is the first time Tesla has publicly shared these estimates on its investor relations website. For the full year  the company’s compiled estimate is about 1.6 million deliveries  down more than 8% from last year  pointing to a second consecutive annual sales decline.  Despite weaker delivery expectations  Tesla shares are up 14% year to date through Monday’s close  trailing the S&P 500’s 17% gain.
2025-12-30|06:51:10|$TSLA** - TESLA STOCK FORECAST: BAIRD PREVIEWS 2026**  Baird expects Tesla to enter 2026 with multiple catalysts  maintaining an Outperform rating and a $548 price target. The firm views Tesla as a core holding  noting the stock is up 21% year to date and 7% over the past month  outperforming the S&P 500.  Key catalysts include expected robotaxi announcements  potential regulatory and revenue updates in China and the EU  and progress in Optimus production  Tesla Semi volumes  and Energy segment growth. Baird also reaffirmed expectations for paid robotaxi service and initial Optimus commercialization in 2027.  The firm updated its long-term model through 2030  removed prior Model 2 delivery assumptions  and continues to base its valuation on roughly 70x 2030 EBITDA  discounted to year-end 2026.
2025-12-30|07:01:10|SILVER47 DISCOVERS NEW HIGH-GRADE MASSIVE SULFIDE ZONE AT RED MOUNTAIN PROJECT  ALASKA $AGA.V $AAGAF
2025-12-30|07:14:10|SOFTBANK HAS FULLY FUNDED OPENAI COMMITMENT OF $40B - CNBC  CITING SOURCES
2025-12-30|07:31:10|$NVDA** - DAN IVES’ TOP AI STOCK PICKS FOR 2026**  Artificial intelligence led markets in 2025  and Wedbush analyst Dan Ives expects new winners to emerge in 2026. His top AI-related picks are Microsoft  Apple  Tesla  Palantir  and CrowdStrike. Nvidia  despite leading the AI rally in recent years  was excluded as Ives focuses on “derivative” beneficiaries of AI spending across the broader tech ecosystem.  Ives argues that every dollar spent on Nvidia chips drives an $8–$10 multiplier across other technology companies  positioning these firms to benefit most in the next phase of the AI cycle.  **Key highlights:**  🔸 $MSFT: Strong upside from Azure  with growth underestimated by the market; shares up 15.6% in 2025.  🔸 $AAPL: Potential acceleration in AI could add $75–$100 per share over time; shares up 9.3%.  🔸 $TSLA: 2026 seen as a breakout year for autonomous driving and robotics; shares up 13.8%.  🔸 $PLTR: Viewed as a potential trillion-dollar market cap AI leader; shares up 143.5%.  🔸 $CRWD: Growing enterprise adoption and expanding product suite; shares up 39.1%.
2025-12-30|07:46:10|US DEC. MNI CHICAGO REPORT BUSINESS INDEX AT 43.5; EST. 39.8
2025-12-30|08:46:11|🚨 PRESIDENT ZELENSKIY TELLS MEDIA IN WHATSAPP CHAT: KYIV IS DISCUSSING WITH PRESIDENT TRUMP US TROOPS PRESENCE IN UKRAINE
2025-12-30|08:47:11|ZELENSKIY SAYS WE DISCUSS BOOTS ON THE GROUND WITH US  OTHER ALLIES  ZELENSKIY SAYS UKRAINE SEEKS ALLIES TO MONITOR POTENTIAL TRUCE  ZELENSKIY SAYS IT'S UP TO US  ALLIES TO DECIDE ON TROOP DEPLOYMENT
2025-12-30|09:00:12|ZELENSKIY SAYS HE IS READY FOR ANY FORMAT OF MEETING WITH PUTIN
2025-12-30|09:29:11|INTEL SHARES HIT MORE THAN TWO-WEEK HIGH  LAST UP 4.2%
2025-12-30|10:17:12|COMEX SILVER EXTENDS GAINS TO 8%
2025-12-30|10:32:11|$NVDA** - NVIDIA IN TALKS TO BUY AI21 LABS FOR UP TO $3 BILLION**  Nvidia is in advanced talks to acquire Israeli AI firm AI21 Labs for $2–3 billion  according to local media outlet Calcalist. If completed  this would be Nvidia’s fourth acquisition in Israel and its second largest after Mellanox.  The deal is largely aimed at AI21’s roughly 200 employees  many of whom have advanced AI expertise  implying a valuation of about $10–15 million per employee. AI21 develops large-scale language models and was last valued at $1.4 billion after a 2023 funding round.  Founded in 2017 by Amnon Shashua  who also leads Mobileye  AI21 has attracted strong investor interest amid the AI boom.
2025-12-30|12:02:11|ELON MUSK’S XAI HAS BOUGHT A BUILDING FOR A THIRD SUPERSIZED DATA CENTER IT’S PLANNING OUTSIDE MEMPHIS  TENNESSEE- THE INFORMATION
2025-12-30|12:03:14|FED MINUTES: SOME PARTICIPANTS SUGGESTED UNDER THEIR ECONOMIC OUTLOOKS IT WOULD LIKELY BE APPROPRIATE TO LEAVE RATES UNCHANGED FOR SOME TIME AFTER DECEMBER CUT
2025-12-30|14:52:12|VENEZUELA CURRENCY CLOSES THE YEAR AT 301 BOLIVARS TO THE DOLLAR  DEPRECIATING 83% YEAR-ON-YEAR
2025-12-30|18:32:13|*CHINA DEC. MANUFACTURING PMI 50.1; EST. 49.2 *CHINA DEC. NON-MANUFACTURING PMI 50.2; EST. 49.6 *CHINA DEC. COMPOSITE PMI 50.7; PREV. 49.7
2025-12-30|19:38:13|SPOT PALLADIUM FALLS OVER 4% INTRADAY TO $1 555.31/OZ AFTER CME RAISED PRECIOUS METALS FUTURES MARGIN FOR THE SECOND TIME IN A WEEK
2025-12-30|19:41:13|CDC: US MEASLES CASES AT 30-YEAR HIGH  The CDC says measles cases in the US have passed 2 000 in 2025  the highest level in more than three decades. Nearly 2 000 cases were reported across 44 jurisdictions  with Texas the hardest hit. Most cases involved unvaccinated people or those with unknown vaccination status.
2025-12-31|06:07:16|NETANYAHU SAID TO HAVE RAISED NEW IRAN STRIKES WITH TRUMP  Israeli Prime Minister Benjamin Netanyahu brought up the topic of the possibily hitting Iran again in 2026 with United States President Donald Trump  Axios reported on Wednesday.
2025-12-31|06:31:15|*US JOBLESS CLAIMS 199K IN DEC. 27 WEEK; EST. 220K *US CONTINUING CLAIMS 1.866M IN DEC. 20 WEEK; PREV. 1.923M
2025-12-31|06:35:14|UKRAINE STRUCK OIL DEPOT IN RUSSIAN CITY OF RYBINSK  SBU OFFICIAL SAYS.
2025-12-31|07:28:14|Trump: ‘Tim Waltz of Minnesota is a Crooked Governor!!!’
2025-12-31|08:13:14|**HOLIDAYS DISTORTING JOBLESS CLAIMS DATA**  Citi economists warn that holiday periods are causing unusually large distortions in the seasonal adjustments for jobless claims this year.  **Key data from Christmas week:**  🔸 Initial claims fell to 199 000 (from 215 000 the prior week) 🔸 This was much lower than the expected 220 000  A more reliable picture of the labor market may not emerge until mid-January.That said  the low level of claims still points to very few layoffs.  Ci**ti's forecasts for the upcoming December jobs report (due next week):  **🔸 Nonfarm payrolls: +75 000 🔸 Unemployment rate: rising to 4.7% (mainly due to higher labor force participation)
2025-12-31|08:24:14|**WILL SCOTUS UPHOLD TRUMP'S TARIFFS?**  Kalshi Prediction Market – Dec 31  2025 (New Year's Eve)  📈 Yes → 36% chance (+10 points in recent days)    📉 No → 64% (implied)  December started quiet with odds in the low 20s  but the market has surged over the past week amid rising trading volume ($1.76M traded).  As legal challenges pile up against Trump's new tariffs  bettors are increasingly leaning toward the Supreme Court ultimately siding with the administration. https://kalshi.com/markets/kxdjtvostariffs/tariffs-case/kxdjtvostariffs?utm_source=walterbloomberg
2025-12-31|08:24:15|"Track what Kalshi's markets predict for ""Will the Supreme Court rule in favor of Trump's tariffs?""  or trade it yourself."
2025-12-31|09:01:14|$UBER - UBER CONSIDERS DEAL FOR PARKING APP SPOTHERO
2025-12-31|09:03:14|WAYMO SAYS THEY PREPARE FOR COMMERCIAL LAUNCH NEXT YEAR IN LONDON - X POST
2025-12-31|09:40:15|"**TRUMP: SEND SOMALIS BACK FROM WHERE THEY CAME**  President Donald Trump posted on Truth Social  claiming that up to 90% of fraud in Minnesota is committed by Somali immigrants who entered the U.S. illegally.  He attacked Rep. Ilhan Omar (D-Minn.) as an ""ungrateful loser who only complains and never contributes"" and a ""scammer.""  Trump called such individuals ""lowlifes"" and a ""liability"" to America  urging: ""Send them back from where they came  Somalia  perhaps the worst  and most corrupt  country on earth. MAKE AMERICA GREAT AGAIN!!!"""
2025-12-31|10:01:14|U.S. 30-YR FIXED RATE MORTGAGE AVERAGES 6.15 PCT IN DEC 31 WEEK  LOWEST SINCE OCT 3  2024 WEEK  VS 6.18 PCT PRIOR WEEK-FREDDIE MAC
2025-12-31|12:08:15|SPOT GOLD SET TO RISE OVER 64% IN 2025  ITS BEST YEAR SINCE 1979
2025-12-31|12:09:15|SPOT SILVER SET TO LOG A 147% GAIN IN 2025  ITS BEST YEAR ON RECORD
2025-12-31|12:10:15|BRIDGEWATER'S NEW AI MACRO FUND GAINED 11.9% IN 2025  SOURCE SAYS
2025-12-31|06:07:16|NETANYAHU SAID TO HAVE RAISED NEW IRAN STRIKES WITH TRUMP  Israeli Prime Minister Benjamin Netanyahu brought up the topic of the possibily hitting Iran again in 2026 with United States President Donald Trump  Axios reported on Wednesday.
2025-12-31|06:31:15|*US JOBLESS CLAIMS 199K IN DEC. 27 WEEK; EST. 220K *US CONTINUING CLAIMS 1.866M IN DEC. 20 WEEK; PREV. 1.923M
2025-12-31|06:35:14|UKRAINE STRUCK OIL DEPOT IN RUSSIAN CITY OF RYBINSK  SBU OFFICIAL SAYS.
2025-12-31|07:28:14|Trump: ‘Tim Waltz of Minnesota is a Crooked Governor!!!’
2025-12-31|08:13:14|**HOLIDAYS DISTORTING JOBLESS CLAIMS DATA**  Citi economists warn that holiday periods are causing unusually large distortions in the seasonal adjustments for jobless claims this year.  **Key data from Christmas week:**  🔸 Initial claims fell to 199 000 (from 215 000 the prior week) 🔸 This was much lower than the expected 220 000  A more reliable picture of the labor market may not emerge until mid-January.That said  the low level of claims still points to very few layoffs.  Ci**ti's forecasts for the upcoming December jobs report (due next week):  **🔸 Nonfarm payrolls: +75 000 🔸 Unemployment rate: rising to 4.7% (mainly due to higher labor force participation)
2025-12-31|08:24:14|**WILL SCOTUS UPHOLD TRUMP'S TARIFFS?**  Kalshi Prediction Market – Dec 31  2025 (New Year's Eve)  📈 Yes → 36% chance (+10 points in recent days)    📉 No → 64% (implied)  December started quiet with odds in the low 20s  but the market has surged over the past week amid rising trading volume ($1.76M traded).  As legal challenges pile up against Trump's new tariffs  bettors are increasingly leaning toward the Supreme Court ultimately siding with the administration. https://kalshi.com/markets/kxdjtvostariffs/tariffs-case/kxdjtvostariffs?utm_source=walterbloomberg
2025-12-31|08:24:15|"Track what Kalshi's markets predict for ""Will the Supreme Court rule in favor of Trump's tariffs?""  or trade it yourself."
2025-12-31|09:01:14|$UBER - UBER CONSIDERS DEAL FOR PARKING APP SPOTHERO
2025-12-31|09:03:14|WAYMO SAYS THEY PREPARE FOR COMMERCIAL LAUNCH NEXT YEAR IN LONDON - X POST
2025-12-31|09:40:15|"**TRUMP: SEND SOMALIS BACK FROM WHERE THEY CAME**  President Donald Trump posted on Truth Social  claiming that up to 90% of fraud in Minnesota is committed by Somali immigrants who entered the U.S. illegally.  He attacked Rep. Ilhan Omar (D-Minn.) as an ""ungrateful loser who only complains and never contributes"" and a ""scammer.""  Trump called such individuals ""lowlifes"" and a ""liability"" to America  urging: ""Send them back from where they came  Somalia  perhaps the worst  and most corrupt  country on earth. MAKE AMERICA GREAT AGAIN!!!"""
2025-12-31|10:01:14|U.S. 30-YR FIXED RATE MORTGAGE AVERAGES 6.15 PCT IN DEC 31 WEEK  LOWEST SINCE OCT 3  2024 WEEK  VS 6.18 PCT PRIOR WEEK-FREDDIE MAC
2025-12-31|12:08:15|SPOT GOLD SET TO RISE OVER 64% IN 2025  ITS BEST YEAR SINCE 1979
2025-12-31|12:09:15|SPOT SILVER SET TO LOG A 147% GAIN IN 2025  ITS BEST YEAR ON RECORD
2025-12-31|12:10:15|BRIDGEWATER'S NEW AI MACRO FUND GAINED 11.9% IN 2025  SOURCE SAYS
2025-12-31|13:58:15|TRUMP: WE ARE REMOVING NATIONAL GUARD FROM CHICAGO  LOS ANGELES  AND PORTLAND
2025-12-31|13:59:15|TRUMP: WE WILL COME BACK  PERHAPS IN A MUCH DIFFERENT AND STRONGER FORM  WHEN CRIME BEGINS TO SOAR AGAIN
2025-12-31|14:06:15|UNOFFICIALLY  FOR THE YEAR THE S&P 500 GAINED 16.39%  THE NASDAQ ROSE 0.76%  AND THE DOW CLIMBED 12.97%
2025-12-31|14:06:16|DOW  S&P 500  NASDAQ COMPOSITE RECORD THIRD STRAIGHT YEAR OF GAINS
2025-12-31|14:20:15|U.S. MILITARY SAYS IT CONDUCTED KINETIC STRIKES AGAINST THREE NARCO-TRAFFICKING VESSELS TRAVELING AS A CONVOY
2025-12-31|20:30:15|WHITE HOUSE: PRESIDENT TRUMP ADJUSTS IMPORTS OF TIMBER  LUMBER  AND THEIR DERIVATIVE PRODUCTS INTO THE UNITED STATES
2025-12-31|20:30:16|WHITE HOUSE- PRESIDENT TRUMP SIGNED A PROCLAMATION TO DELAY INCREASES IN TARIFFS FOR UPHOLSTERED FURNITURE  KITCHEN CABINETS  AND VANITIES FOR ANOTHER YEAR
2025-12-31|21:09:15|NEURALINK TARGETS MASS PRODUCTION IN 2026  Elon Musk announced that Neuralink plans to begin high-volume production of its brain–computer interface implants in 2026. The company also intends to introduce a streamlined  largely automated surgical procedure.
2025-12-31|21:14:15|Happy New Year  wishing you joy  health  and epic success in 2026! 📈✨
2026-01-01|08:05:17|OPENAI UNIFIES TEAMS TO ENHANCE AUDIO AI MODELS FOR AN UPCOMING DEVICE - THE INFORMATION
2026-01-01|11:20:18|RUSSIA ASKS UNITED STATES TO STOP PURSUIT OF FLEEING OIL TANKER -NEW YORK TIMES
2026-01-01|11:21:18|U.S. STATE DEPARTMENT SAYS CHINA'S MILITARY ACTIVITIES NEAR TAIWAN IS 'UNNECESSARILY'
2026-01-01|13:36:19|UKRAINE PEACE PLAN IS 90% READY  ZELENSKYY SAYS - POLITICO
2026-01-01|21:24:19|MADURO SIGNALS WILLINGNESS TO TALKS WITH U.S.  Venezuelan President Nicolás Maduro said he is open to discussions with the United States on drug trafficking  oil  and migration. Speaking on state television  he said talks could take place “wherever and whenever” Washington chooses. His remarks followed U.S. strikes on vessels accused of transporting narcotics from Venezuela.
2026-01-02|05:48:20|TRUMP CLAIMS HE “ACED” COGNITIVE TEST  U.S. President Donald Trump said on Truth Social that he is in “perfect health” and that White House doctors reported he “aced” his cognitive examination for the third time. He claimed he answered 100% of the questions correctly and asserted that no other president or vice president had been willing to take such a test. Trump added that all candidates for president or vice president should be required to undergo a mandatory cognitive examination.
2026-01-02|06:12:21|IRANIAN PARLIAMENT SPEAKER SAYS U.S. BASES  FORCES IN REGION ‘LEGITIMATE TARGETS’ IF WASHINGTON ADVENTURES
2026-01-02|06:36:20|NEW WORLD SCREWWORM CASE DETECTED IN THE STATE OF MEXICO  AGRICULTURE MINISTRY SAYS
2026-01-02|07:00:21|EARTHQUAKE ALARM SOUNDS IN MEXICO CITY 
2026-01-02|07:03:20|TESLA INC 2025 TOTAL DELIVERIES 1.64 MLN UNITS  PRODUCTION 1.65 MLN UNITS
2026-01-02|07:04:21|*TESLA 4Q DELIVERIES 418 227  EST. 440 907
2026-01-02|08:44:20|$TSLA** - TRUIST CUTS TESLA PRICE TARGET TO $439**  Truist Securities analyst William Stein lowered Tesla’s price target to $439 from $444 and maintained a Hold rating. Q4 deliveries totaled 418 000 units  below both consensus and Truist estimates  with no updates on key priorities such as AI initiatives and new vehicles. While energy storage deployments exceeded expectations  Truist believes investors should focus more on AI—particularly FSD—as the primary driver of long-term cash flow and stock performance. Near-term EPS estimates were slightly reduced  and the recent stock bounce is viewed as “better than feared.”
2026-01-02|08:51:20|$TSLA** - STIFEL: TSLA AND RIVN Q4 DELIVERIES IN LINE**  Stifel said Tesla delivered 418 227 vehicles in Q4 2025  slightly above its forecast but about 1% below consensus. Deliveries declined sequentially after the expiration of the U.S. EV tax credit and fell 15.6% year over year. The firm views the results as neutral for the stock and is awaiting margin details at Q4 earnings on January 26  2026. Tesla also reported a record 14.2 GWh of energy storage deployments. Stifel reiterated its Buy rating and $508 price target  citing FSD and Robotaxi progress as key value drivers. Rivian’s Q4 production and deliveries were largely in line with expectations.
2026-01-02|09:03:20|$MSTR** - SAYLOR’S STRATEGY BRACES FOR MAJOR Q4 BITCOIN LOSS**  Strategy Inc. is expected to report a multibillion-dollar fourth-quarter loss after Bitcoin fell 24%  reversing a $2.8 billion profit in the prior quarter. The loss reflects unrealized declines in the value of the company’s roughly $60 billion Bitcoin holdings under new fair-value accounting rules.  The expected hit comes as investor sentiment toward the Bitcoin-treasury model weakens. Strategy’s shares fell 48% in 2025 and are nearly 70% below their November 2024 peak  raising concerns about funding dividends and interest costs. The company raised cash in December by selling shares to bolster liquidity.  Strategy now projects full-year operating results ranging from a $7 billion loss to a $9.5 billion profit  based on Bitcoin prices between $85 000 and $110 000. With Bitcoin ending the year near $87 600  results are likely toward the lower end. The company’s enterprise value is nearing parity with its Bitcoin holdings  highlighting growing skepticism around the sustainability of the model.
2026-01-02|09:24:20|FBI SAYS IT THWARTED POTENTIAL ISIS-INSPIRED ATTACK IN NORTH CAROLINA PLANNED FOR NEW YEAR'S EVE
